Date,Year,Study,Time,Temperature,Soil moisture,Precipitation,RH%,Soil temp
05-16,2023,Spring 2023,18:00,23.23,0.172,0.00,33.11,15.18
05-16,2023,Spring 2023,19:00,21.81,0.172,0.00,38.69,15.17
05-16,2023,Spring 2023,20:00,20.60,0.172,0.00,42.68,15.06
05-16,2023,Spring 2023,21:00,17.67,0.171,0.00,50.63,14.87
05-16,2023,Spring 2023,22:00,15.07,0.171,0.00,57.20,14.59
05-16,2023,Spring 2023,23:00,13.43,0.171,0.00,62.16,14.24
05-16,2023,Spring 2023,24:00,11.53,0.171,0.00,71.54,13.88
05-17,2023,Spring 2023,01:00,10.29,0.170,0.00,66.22,13.52
05-17,2023,Spring 2023,02:00,8.68,0.170,0.00,69.03,13.15
05-17,2023,Spring 2023,03:00,7.07,0.170,0.00,76.60,12.80
05-17,2023,Spring 2023,04:00,5.39,0.169,0.00,87.40,12.45
05-17,2023,Spring 2023,05:00,5.18,0.169,0.00,85.60,12.08
05-17,2023,Spring 2023,06:00,4.47,0.169,0.00,88.20,11.72
05-17,2023,Spring 2023,07:00,4.33,0.168,0.00,87.20,11.39
05-17,2023,Spring 2023,08:00,5.80,0.169,0.00,77.80,11.12
05-17,2023,Spring 2023,09:00,7.09,0.169,0.00,69.60,11.01
05-17,2023,Spring 2023,10:00,8.46,0.169,0.00,60.80,11.12
05-17,2023,Spring 2023,11:00,9.37,0.169,0.00,56.66,11.46
05-17,2023,Spring 2023,12:00,10.34,0.169,0.00,55.08,11.98
05-17,2023,Spring 2023,13:00,11.26,0.169,0.00,51.82,12.69
05-17,2023,Spring 2023,14:00,12.00,0.168,0.00,48.66,13.50
05-17,2023,Spring 2023,15:00,13.03,0.168,0.00,43.25,14.34
05-17,2023,Spring 2023,16:00,13.62,0.167,0.00,35.08,14.83
05-17,2023,Spring 2023,17:00,14.13,0.167,0.00,34.43,14.70
05-17,2023,Spring 2023,18:00,14.00,0.166,0.00,32.26,14.60
05-17,2023,Spring 2023,19:00,13.45,0.165,0.00,33.28,14.56
05-17,2023,Spring 2023,20:00,12.61,0.165,0.00,33.94,14.35
05-17,2023,Spring 2023,21:00,10.86,0.164,0.00,39.49,14.00
05-17,2023,Spring 2023,22:00,8.49,0.164,0.00,50.99,13.57
05-17,2023,Spring 2023,23:00,5.18,0.163,0.00,70.81,13.11
05-17,2023,Spring 2023,24:00,5.52,0.163,0.00,69.78,12.64
05-18,2023,Spring 2023,01:00,5.11,0.163,0.00,73.84,12.21
05-18,2023,Spring 2023,02:00,3.82,0.163,0.00,83.20,11.83
05-18,2023,Spring 2023,03:00,3.32,0.163,0.00,84.60,11.47
05-18,2023,Spring 2023,04:00,2.42,0.162,0.00,95.80,11.14
05-18,2023,Spring 2023,05:00,2.66,0.162,0.00,89.90,10.84
05-18,2023,Spring 2023,06:00,3.34,0.162,0.00,79.80,10.58
05-18,2023,Spring 2023,07:00,2.40,0.162,0.00,88.10,10.37
05-18,2023,Spring 2023,08:00,4.09,0.162,0.00,83.10,10.19
05-18,2023,Spring 2023,09:00,6.28,0.163,0.00,69.46,10.17
05-18,2023,Spring 2023,10:00,9.06,0.163,0.00,58.44,10.34
05-18,2023,Spring 2023,11:00,11.40,0.163,0.00,48.00,10.75
05-18,2023,Spring 2023,12:00,13.49,0.163,0.00,35.23,11.38
05-18,2023,Spring 2023,13:00,15.26,0.163,0.00,27.21,12.16
05-18,2023,Spring 2023,14:00,16.52,0.162,0.00,25.48,13.01
05-18,2023,Spring 2023,15:00,17.56,0.162,0.00,27.46,13.90
05-18,2023,Spring 2023,16:00,18.46,0.161,0.00,26.74,14.45
05-18,2023,Spring 2023,17:00,18.92,0.161,0.00,27.18,14.50
05-18,2023,Spring 2023,18:00,19.28,0.160,0.00,29.62,14.53
05-18,2023,Spring 2023,19:00,19.15,0.160,0.00,30.58,14.59
05-18,2023,Spring 2023,20:00,18.26,0.160,0.00,30.86,14.51
05-18,2023,Spring 2023,21:00,16.59,0.159,0.00,32.33,14.26
05-18,2023,Spring 2023,22:00,14.30,0.159,0.00,35.17,13.92
05-18,2023,Spring 2023,23:00,12.41,0.159,0.00,37.86,13.53
05-18,2023,Spring 2023,24:00,10.70,0.158,0.00,42.39,13.14
05-19,2023,Spring 2023,01:00,9.54,0.158,0.00,46.80,12.75
05-19,2023,Spring 2023,02:00,8.78,0.158,0.00,53.17,12.39
05-19,2023,Spring 2023,03:00,8.22,0.158,0.00,63.93,12.08
05-19,2023,Spring 2023,04:00,8.19,0.158,0.00,71.92,11.82
05-19,2023,Spring 2023,05:00,8.45,0.158,0.00,71.67,11.61
05-19,2023,Spring 2023,06:00,9.28,0.158,0.00,68.57,11.44
05-19,2023,Spring 2023,07:00,10.49,0.158,0.00,64.24,11.30
05-19,2023,Spring 2023,08:00,12.63,0.158,0.00,58.32,11.23
05-19,2023,Spring 2023,09:00,14.87,0.158,0.00,53.34,11.29
05-19,2023,Spring 2023,10:00,17.78,0.158,0.00,47.31,11.49
05-19,2023,Spring 2023,11:00,19.80,0.158,0.00,47.32,11.89
05-19,2023,Spring 2023,12:00,20.75,0.158,0.00,49.59,12.49
05-19,2023,Spring 2023,13:00,22.05,0.158,0.00,50.95,13.17
05-19,2023,Spring 2023,14:00,22.00,0.157,0.00,52.08,13.81
05-19,2023,Spring 2023,15:00,22.13,0.157,0.00,53.25,14.13
05-19,2023,Spring 2023,16:00,21.61,0.156,0.00,56.73,14.28
05-19,2023,Spring 2023,17:00,19.22,0.156,0.76,78.30,14.30
05-19,2023,Spring 2023,18:00,16.39,0.157,2.79,100.00,14.25
05-19,2023,Spring 2023,19:00,16.02,0.168,4.32,100.00,14.18
05-19,2023,Spring 2023,20:00,15.96,0.168,0.00,100.00,14.12
05-19,2023,Spring 2023,21:00,15.54,0.168,0.00,100.00,14.07
05-19,2023,Spring 2023,22:00,15.14,0.168,0.25,100.00,13.98
05-19,2023,Spring 2023,23:00,14.57,0.168,0.00,93.50,13.85
05-19,2023,Spring 2023,24:00,13.61,0.167,0.00,87.30,13.71
05-20,2023,Spring 2023,01:00,12.71,0.167,0.00,80.60,13.52
05-20,2023,Spring 2023,02:00,11.55,0.167,0.00,82.70,13.29
05-20,2023,Spring 2023,03:00,10.78,0.166,0.00,83.00,13.05
05-20,2023,Spring 2023,04:00,9.27,0.166,0.00,92.20,12.82
05-20,2023,Spring 2023,05:00,6.97,0.166,0.00,100.00,12.55
05-20,2023,Spring 2023,06:00,7.61,0.166,0.00,100.00,12.23
05-20,2023,Spring 2023,07:00,7.74,0.166,0.00,100.00,11.96
05-20,2023,Spring 2023,08:00,8.02,0.166,0.00,100.00,11.77
05-20,2023,Spring 2023,09:00,8.28,0.166,0.00,97.80,11.68
05-20,2023,Spring 2023,10:00,9.33,0.167,0.00,90.70,11.69
05-20,2023,Spring 2023,11:00,9.66,0.166,0.00,91.30,11.78
05-20,2023,Spring 2023,12:00,10.61,0.167,0.00,85.80,11.85
05-20,2023,Spring 2023,13:00,10.78,0.167,0.00,86.50,11.99
05-20,2023,Spring 2023,14:00,12.27,0.167,0.00,78.86,12.19
05-20,2023,Spring 2023,15:00,13.63,0.167,0.00,71.21,12.50
05-20,2023,Spring 2023,16:00,14.06,0.166,0.00,68.09,12.88
05-20,2023,Spring 2023,17:00,14.84,0.166,0.00,63.12,13.08
05-20,2023,Spring 2023,18:00,15.52,0.166,0.00,61.47,13.28
05-20,2023,Spring 2023,19:00,16.29,0.166,0.00,57.26,13.47
05-20,2023,Spring 2023,20:00,16.88,0.166,0.00,49.62,13.54
05-20,2023,Spring 2023,21:00,15.24,0.165,0.00,55.57,13.46
05-20,2023,Spring 2023,22:00,11.44,0.165,0.00,77.50,13.22
05-20,2023,Spring 2023,23:00,11.38,0.165,0.00,76.87,12.85
05-20,2023,Spring 2023,24:00,11.54,0.165,0.00,75.28,12.53
05-21,2023,Spring 2023,01:00,10.64,0.165,0.00,78.48,12.29
05-21,2023,Spring 2023,02:00,9.58,0.165,0.00,83.80,12.08
05-21,2023,Spring 2023,03:00,9.04,0.165,0.00,85.00,11.88
05-21,2023,Spring 2023,04:00,8.27,0.164,0.00,88.90,11.68
05-21,2023,Spring 2023,05:00,6.91,0.164,0.00,98.50,11.45
05-21,2023,Spring 2023,06:00,5.46,0.164,0.00,100.00,11.21
05-21,2023,Spring 2023,07:00,6.06,0.164,0.00,99.00,10.95
05-21,2023,Spring 2023,08:00,9.38,0.164,0.00,83.00,10.79
05-21,2023,Spring 2023,09:00,11.68,0.164,0.00,73.14,10.81
05-21,2023,Spring 2023,10:00,14.33,0.165,0.00,64.65,11.05
05-21,2023,Spring 2023,11:00,17.03,0.165,0.00,57.40,11.55
05-21,2023,Spring 2023,12:00,19.38,0.165,0.00,45.94,12.29
05-21,2023,Spring 2023,13:00,20.65,0.165,0.00,37.70,13.12
05-21,2023,Spring 2023,14:00,21.89,0.164,0.00,32.17,13.96
05-21,2023,Spring 2023,15:00,22.51,0.164,0.00,31.14,14.75
05-21,2023,Spring 2023,16:00,23.02,0.163,0.00,32.03,15.25
05-21,2023,Spring 2023,17:00,23.63,0.163,0.00,29.57,15.38
05-21,2023,Spring 2023,18:00,23.12,0.162,0.00,31.87,15.44
05-21,2023,Spring 2023,19:00,23.16,0.162,0.00,32.00,15.46
05-21,2023,Spring 2023,20:00,22.64,0.162,0.00,33.63,15.44
05-21,2023,Spring 2023,21:00,19.29,0.162,0.00,50.36,15.31
05-21,2023,Spring 2023,22:00,15.49,0.161,0.00,66.83,15.00
05-21,2023,Spring 2023,23:00,13.59,0.161,0.00,75.98,14.59
05-21,2023,Spring 2023,24:00,11.83,0.161,0.00,85.60,14.18
05-22,2023,Spring 2023,01:00,10.63,0.161,0.00,98.50,13.79
05-22,2023,Spring 2023,02:00,9.61,0.160,0.00,100.00,13.43
05-22,2023,Spring 2023,03:00,8.74,0.160,0.00,100.00,13.09
05-22,2023,Spring 2023,04:00,8.01,0.160,0.00,100.00,12.78
05-22,2023,Spring 2023,05:00,7.38,0.160,0.00,100.00,12.48
05-22,2023,Spring 2023,06:00,7.15,0.160,0.00,100.00,12.21
05-22,2023,Spring 2023,07:00,7.12,0.160,0.00,100.00,11.95
05-22,2023,Spring 2023,08:00,8.57,0.160,0.00,100.00,11.75
05-22,2023,Spring 2023,09:00,11.83,0.160,0.00,96.20,11.74
05-22,2023,Spring 2023,10:00,14.97,0.160,0.00,76.55,11.96
05-22,2023,Spring 2023,11:00,18.04,0.161,0.00,57.93,12.41
05-22,2023,Spring 2023,12:00,20.66,0.161,0.00,47.08,13.06
05-22,2023,Spring 2023,13:00,22.26,0.160,0.00,40.63,13.84
05-22,2023,Spring 2023,14:00,23.11,0.160,0.00,37.26,14.65
05-22,2023,Spring 2023,15:00,23.81,0.160,0.00,33.64,15.35
05-22,2023,Spring 2023,16:00,23.65,0.159,0.00,34.85,15.85
05-22,2023,Spring 2023,17:00,23.71,0.159,0.00,33.39,15.99
05-22,2023,Spring 2023,18:00,23.69,0.159,0.00,33.90,15.99
05-22,2023,Spring 2023,19:00,23.65,0.159,0.00,33.94,15.98
05-22,2023,Spring 2023,20:00,22.79,0.158,0.00,36.87,15.93
05-22,2023,Spring 2023,21:00,20.79,0.158,0.00,42.25,15.75
05-22,2023,Spring 2023,22:00,18.15,0.158,0.00,49.08,15.44
05-22,2023,Spring 2023,23:00,15.91,0.158,0.00,57.92,15.05
05-22,2023,Spring 2023,24:00,14.07,0.157,0.00,65.03,14.64
05-23,2023,Spring 2023,01:00,13.47,0.157,0.00,67.54,14.26
05-23,2023,Spring 2023,02:00,12.99,0.157,0.00,71.80,13.92
05-23,2023,Spring 2023,03:00,10.41,0.157,0.00,92.00,13.61
05-23,2023,Spring 2023,04:00,10.27,0.157,0.00,96.20,13.30
05-23,2023,Spring 2023,05:00,10.69,0.157,0.00,89.90,13.00
05-23,2023,Spring 2023,06:00,9.49,0.156,0.00,100.00,12.74
05-23,2023,Spring 2023,07:00,9.51,0.156,0.00,100.00,12.48
05-23,2023,Spring 2023,08:00,10.62,0.156,0.00,97.70,12.29
05-23,2023,Spring 2023,09:00,12.77,0.157,0.00,82.80,12.27
05-23,2023,Spring 2023,10:00,15.15,0.157,0.00,72.13,12.46
05-23,2023,Spring 2023,11:00,17.82,0.157,0.00,65.02,12.87
05-23,2023,Spring 2023,12:00,20.14,0.157,0.00,58.06,13.47
05-23,2023,Spring 2023,13:00,22.00,0.157,0.00,51.68,14.24
05-23,2023,Spring 2023,14:00,23.44,0.157,0.00,39.92,15.07
05-23,2023,Spring 2023,15:00,24.41,0.156,0.00,34.42,15.85
05-23,2023,Spring 2023,16:00,24.86,0.155,0.00,35.32,16.40
05-23,2023,Spring 2023,17:00,25.12,0.155,0.00,33.31,16.56
05-23,2023,Spring 2023,18:00,25.50,0.155,0.00,32.46,16.68
05-23,2023,Spring 2023,19:00,25.24,0.154,0.00,32.67,16.78
05-23,2023,Spring 2023,20:00,24.48,0.154,0.00,37.88,16.76
05-23,2023,Spring 2023,21:00,20.86,0.154,0.00,59.16,16.58
05-23,2023,Spring 2023,22:00,17.41,0.154,0.00,68.47,16.25
05-23,2023,Spring 2023,23:00,14.84,0.153,0.00,80.70,15.83
05-23,2023,Spring 2023,24:00,13.56,0.153,0.00,91.00,15.41
05-24,2023,Spring 2023,01:00,12.15,0.153,0.00,99.20,15.03
05-24,2023,Spring 2023,02:00,11.69,0.153,0.00,100.00,14.67
05-24,2023,Spring 2023,03:00,11.05,0.153,0.00,100.00,14.36
05-24,2023,Spring 2023,04:00,10.42,0.153,0.00,100.00,14.07
05-24,2023,Spring 2023,05:00,10.05,0.152,0.00,100.00,13.80
05-24,2023,Spring 2023,06:00,9.75,0.152,0.00,100.00,13.54
05-24,2023,Spring 2023,07:00,9.93,0.152,0.00,100.00,13.31
05-24,2023,Spring 2023,08:00,13.01,0.152,0.00,90.90,13.14
05-24,2023,Spring 2023,09:00,16.10,0.152,0.00,68.26,13.15
05-24,2023,Spring 2023,10:00,16.06,0.152,0.00,70.73,13.34
05-24,2023,Spring 2023,11:00,14.48,0.152,0.00,81.00,13.69
05-24,2023,Spring 2023,12:00,14.91,0.152,0.00,76.12,13.94
05-24,2023,Spring 2023,13:00,15.56,0.152,0.00,69.00,14.33
05-24,2023,Spring 2023,14:00,16.08,0.151,0.00,61.88,15.00
05-24,2023,Spring 2023,15:00,16.37,0.151,0.00,55.82,15.74
05-24,2023,Spring 2023,16:00,16.45,0.150,0.00,47.37,16.15
05-24,2023,Spring 2023,17:00,16.47,0.150,0.00,38.50,15.99
05-24,2023,Spring 2023,18:00,15.53,0.149,0.00,33.84,15.85
05-24,2023,Spring 2023,19:00,14.20,0.148,0.00,36.98,15.71
05-24,2023,Spring 2023,20:00,13.47,0.148,0.00,36.79,15.39
05-24,2023,Spring 2023,21:00,11.80,0.147,0.00,39.31,15.02
05-24,2023,Spring 2023,22:00,9.92,0.147,0.00,49.23,14.59
05-24,2023,Spring 2023,23:00,8.25,0.147,0.00,53.70,14.13
05-24,2023,Spring 2023,24:00,6.95,0.146,0.00,54.99,13.68
05-25,2023,Spring 2023,01:00,6.04,0.146,0.00,56.73,13.26
05-25,2023,Spring 2023,02:00,5.53,0.146,0.00,56.50,12.87
05-25,2023,Spring 2023,03:00,4.96,0.146,0.00,59.63,12.52
05-25,2023,Spring 2023,04:00,4.63,0.146,0.00,62.50,12.20
05-25,2023,Spring 2023,05:00,4.54,0.145,0.00,64.58,11.92
05-25,2023,Spring 2023,06:00,4.29,0.145,0.00,67.60,11.67
05-25,2023,Spring 2023,07:00,3.99,0.145,0.00,71.70,11.46
05-25,2023,Spring 2023,08:00,4.66,0.145,0.00,72.44,11.29
05-25,2023,Spring 2023,09:00,6.29,0.145,0.00,68.16,11.28
05-25,2023,Spring 2023,10:00,8.50,0.146,0.00,57.71,11.45
05-25,2023,Spring 2023,11:00,10.25,0.146,0.00,51.82,11.88
05-25,2023,Spring 2023,12:00,12.09,0.145,0.00,46.70,12.57
05-25,2023,Spring 2023,13:00,13.65,0.145,0.00,43.51,13.42
05-25,2023,Spring 2023,14:00,14.90,0.145,0.00,40.18,14.38
05-25,2023,Spring 2023,15:00,16.18,0.144,0.00,36.06,15.33
05-25,2023,Spring 2023,16:00,17.10,0.144,0.00,32.99,15.93
05-25,2023,Spring 2023,17:00,17.70,0.143,0.00,29.91,15.85
05-25,2023,Spring 2023,18:00,17.86,0.143,0.00,27.03,15.75
05-25,2023,Spring 2023,19:00,17.47,0.142,0.00,30.80,15.75
05-25,2023,Spring 2023,20:00,16.22,0.142,0.00,36.07,15.63
05-25,2023,Spring 2023,21:00,13.85,0.141,0.00,38.47,15.31
05-25,2023,Spring 2023,22:00,11.51,0.141,0.00,42.19,14.86
05-25,2023,Spring 2023,23:00,9.76,0.140,0.00,45.86,14.38
05-25,2023,Spring 2023,24:00,8.02,0.140,0.00,51.54,13.90
05-26,2023,Spring 2023,01:00,5.86,0.140,0.00,61.50,13.41
05-26,2023,Spring 2023,02:00,4.10,0.139,0.00,69.87,12.92
05-26,2023,Spring 2023,03:00,2.60,0.139,0.00,81.50,12.46
05-26,2023,Spring 2023,04:00,1.68,0.139,0.00,92.00,12.04
05-26,2023,Spring 2023,05:00,1.33,0.139,0.00,93.00,11.65
05-26,2023,Spring 2023,06:00,0.94,0.138,0.00,97.90,11.30
05-26,2023,Spring 2023,07:00,1.50,0.138,0.00,94.10,10.99
05-26,2023,Spring 2023,08:00,5.23,0.138,0.00,66.27,10.76
05-26,2023,Spring 2023,09:00,8.98,0.139,0.00,51.51,10.73
05-26,2023,Spring 2023,10:00,12.00,0.139,0.00,48.24,10.98
05-26,2023,Spring 2023,11:00,15.22,0.139,0.00,39.17,11.50
05-26,2023,Spring 2023,12:00,17.28,0.139,0.00,33.20,12.36
05-26,2023,Spring 2023,13:00,18.49,0.139,0.00,29.49,13.40
05-26,2023,Spring 2023,14:00,19.79,0.138,0.00,27.97,14.49
